"carat","cut","color","clarity","depth_percentage","table","price","length","width","depth"
0.92,"Ideal","E","SI2",62.6,57,4.309,6.22,6.18,3.88
0.9,"Very Good","G","SI2",63.4,59,3.246,6.08,6.04,3.84
1.31,"Premium","J","VS1",62.3,56,6.236,7.06,6.99,4.38
1,"Very Good","E","VS2",62.1,59,6.6,6.34,6.38,3.95
1.02,"Premium","F","I1",59.6,59,2.452,6.51,6.45,3.87
1.09,"Fair","J","VS2",64.6,58,3.443,6.48,6.41,4.16
1.01,"Fair","E","SI1",64.7,59,4.181,6.23,6.11,3.99
1,"Ideal","G","VVS1",62.3,56,7.644,6.4,6.29,3.95
0.7,"Ideal","F","VVS1",62.2,55,3.348,5.69,5.66,3.53
0.73,"Ideal","H","IF",61.6,55,3.378,5.8,5.82,3.58
0.71,"Very Good","F","VVS2",63.6,56,3.332,5.65,5.7,3.61
1.01,"Good","G","VS2",63.9,54,5.599,6.31,6.37,4.05
0.9,"Premium","I","VS2",61.8,59,3.398,6.15,6.21,3.82
0.71,"Very Good","I","VVS2",61.5,58,2.448,5.73,5.81,3.55
0.77,"Ideal","E","SI2",60.7,55,2.834,6.01,5.95,3.63
1.2,"Premium","J","SI2",59.6,62,3.951,6.95,6.9,4.13
1,"Very Good","E","SI1",63.4,58,4.805,6.29,6.26,3.98
1,"Very Good","D","VS2",63.4,59,5.169,6.35,6.3,4.01
1.22,"Very Good","G","SI2",63.2,58,6.409,6.82,6.76,4.29
0.71,"Premium","I","VS1",62.5,59,2.202,5.75,5.71,3.58
1.2,"Good","I","SI1",63.9,56,5.211,6.62,6.69,4.25
1.06,"Very Good","I","SI1",62.7,56,4.197,6.46,6.5,4.06
1.08,"Good","F","SI2",58,61,4.391,6.72,6.77,3.91
0.71,"Ideal","I","SI1",60.2,60,2.319,5.77,5.79,3.48
0.92,"Good","I","SI1",57.4,65,3.122,6.42,6.48,3.7
1.2,"Very Good","I","SI1",63.1,58,4.838,6.72,6.66,4.22
0.79,"Premium","F","VS2",60.7,60,3.089,5.95,5.97,3.62
1.38,"Ideal","I","SI2",61.8,57,5.796,7.14,7.1,4.4
1.39,"Very Good","I","VS1",62.2,57,7.893,7.17,7.1,4.44
1.03,"Ideal","H","SI2",62.4,57,3.172,6.43,6.36,4
0.56,"Very Good","E","VVS2",60.3,57,2.304,5.33,5.37,3.23
1.16,"Ideal","I","VS2",59.3,56,4.869,6.84,6.88,4.07
0.73,"Premium","H","SI1",62.2,57,2.107,5.8,5.77,3.6
1.22,"Ideal","H","VS2",61.9,55,4.914,6.88,6.83,4.24
1,"Good","D","SI2",62.2,61,4.543,6.3,6.36,3.94
1.5,"Good","G","I1",64,61,4.731,7.15,7.04,0
0.72,"Premium","E","VS2",61.1,59,2.903,5.8,5.75,3.53
1.23,"Ideal","I","VS2",62.4,58,6.817,6.82,6.86,4.27
0.9,"Fair","I","VVS2",67,56,3.074,5.91,5.83,3.93
1.01,"Very Good","I","SI1",63.5,53,4.794,6.32,6.4,4.04
0.9,"Ideal","G","SI2",62.5,55,3.338,6.21,6.15,3.86
1.04,"Ideal","E","SI2",61.1,56,5.067,6.55,6.51,3.99
1.06,"Premium","G","VVS2",62.4,55,7.627,6.54,6.5,4.07
1.02,"Fair","F","SI2",66.6,58,3.633,6.21,6.14,4.11
0.77,"Very Good","I","VS1",62.6,55,2.501,5.85,5.9,3.68
1,"Very Good","F","VS1",62.6,57,6.468,6.35,6.42,4
1.01,"Premium","D","SI1",60,60,5.543,6.51,6.45,3.89
0.83,"Premium","F","VS2",61.9,58,3.408,6.05,6.01,3.73
0.7,"Good","E","SI2",57.8,61,2.239,5.89,5.85,3.39
1.23,"Premium","H","SI2",61.2,57,5.373,6.89,6.86,4.21
0.71,"Very Good","I","VVS2",59.5,60,2.4,5.82,5.87,3.48
0.71,"Ideal","F","SI1",62.9,57,2.381,5.71,5.65,3.57
1.01,"Premium","E","VS2",59.3,59,5.882,6.59,6.54,3.89
1.56,"Premium","I","SI1",61.7,59,7.155,7.44,7.38,4.57
1.21,"Ideal","E","SI1",61.9,57,7.424,6.88,6.79,4.23
1.28,"Ideal","I","VS2",61.4,57,6.308,7.04,6.97,4.3
1.53,"Very Good","I","SI2",61.6,56,7.406,7.39,7.45,4.57
1.32,"Premium","I","SI2",61.3,59,5.588,7.01,6.95,4.28
1.26,"Premium","I","SI1",62,58,6.068,6.9,6.87,4.27
0.7,"Very Good","F","VS1",61.8,59,2.895,5.66,5.76,3.53
1.01,"Premium","F","SI1",62.2,59,5.249,6.36,6.41,3.97
1.01,"Premium","G","SI1",62.8,59,4.605,6.43,6.34,4.01
1.01,"Premium","H","VS2",60.7,61,4.921,6.47,6.39,3.9
1.01,"Good","F","SI2",64.9,60,4.14,6.2,6.25,4.04
1.22,"Premium","I","VS1",60.6,61,6.354,6.94,6.88,4.19
0.79,"Very Good","F","SI1",63,54,2.904,5.91,5.94,3.73
0.7,"Premium","F","VVS2",62.6,59,3.105,5.66,5.62,3.53
1.25,"Ideal","H","SI2",61.6,54,4.9,6.94,6.88,4.25
0.7,"Premium","H","VS1",60.6,59,2.636,5.81,5.74,3.5
1.01,"Ideal","G","VS2",62,57,6.295,6.4,6.44,3.98
1.2,"Ideal","J","VS1",61.3,56,5.534,6.83,6.87,4.2
0.5,"Fair","E","VS2",79,73,2.579,5.21,5.18,4.09
0.71,"Good","I","VVS1",63.4,57,2.549,5.67,5.71,3.61
1,"Premium","D","VS2",60.8,61,6.776,6.41,6.39,3.89
1.06,"Ideal","D","SI1",61.5,56,6.565,6.58,6.55,4.04
1.01,"Fair","D","SI1",65.9,60,4.276,6.32,6.18,4.12
0.73,"Fair","G","SI2",64.7,60,2.05,5.68,5.64,3.66
1.54,"Premium","I","SI1",61.8,57,7.512,7.43,7.37,4.57
0.91,"Good","J","VS2",64.2,58,2.854,6.12,6.09,3.92
1.01,"Very Good","H","SI1",62.6,61,4.622,6.36,6.39,3.99
1.01,"Ideal","J","VS2",62.3,55,4.425,6.4,6.44,4
0.71,"Ideal","D","SI1",60.8,57,3.502,5.75,5.78,3.5
0.7,"Premium","D","SI2",58.3,61,2.167,5.74,5.7,3.33
0.53,"Ideal","F","VVS2",62.1,56,2.175,5.15,5.22,3.22
0.9,"Good","D","VS2",62.6,62,4.739,6.11,6.15,3.84
1.13,"Ideal","E","SI2",61.8,57,5.12,6.68,6.65,4.12
2.01,"Fair","I","I1",55.9,64,5.696,8.48,8.39,4.71
1.28,"Good","H","SI2",56.8,62,4.086,7.22,7.16,4.08
1.02,"Premium","F","VS1",61.9,58,7.351,6.45,6.5,4.01
1.15,"Ideal","G","SI2",62.8,57,3.613,6.7,6.65,4.19
0.71,"Premium","F","SI2",61.6,59,2.482,5.75,5.71,3.53
1.01,"Good","D","SI2",63.6,61,3.959,6.35,6.33,4.03
1,"Premium","G","VVS2",62.5,60,6.702,6.43,6.34,3.99
1.34,"Ideal","H","SI2",61.6,56,6.904,7.1,7.05,4.36
1.02,"Premium","H","SI2",62.5,54,4.284,6.44,6.4,4.01
0.74,"Ideal","F","SI1",61,57,2.851,5.85,5.81,3.56
0.91,"Premium","I","SI1",60.8,59,2.475,6.23,6.2,3.78
1.02,"Ideal","G","VS2",62.5,57,6.352,6.41,6.45,4.02
0.86,"Ideal","G","VS1",62.2,57,4.42,6.05,6.1,3.78
1.05,"Fair","D","SI2",65.4,59,3.816,6.3,6.24,4.1
1.21,"Premium","I","SI2",62.3,59,4.686,6.82,6.77,4.23
1.26,"Premium","G","SI2",59.1,59,5.899,7.09,7.05,4.18
1.08,"Fair","J","SI2",64.9,60,3.302,6.46,6.32,4.15
0.58,"Ideal","D","VVS2",62.1,57,2.617,5.32,5.4,3.32
0.73,"Fair","D","SI1",64.5,56,2.539,5.7,5.65,3.66
1.02,"Ideal","G","VS1",62.2,57,6.563,6.43,6.47,4.01
1.19,"Good","E","VS2",57.4,60,7.064,7,6.9,3.99
1.21,"Ideal","J","VS2",62.6,54.2,5.275,6.79,6.81,4.26
0.6,"Ideal","G","VVS2",61.4,59,2.313,5.37,5.41,3.31
0.9,"Premium","F","SI1",62.3,58,4.047,6.18,6.12,3.83
1.12,"Ideal","G","VS2",62,56,6.652,6.64,6.69,4.13
0.95,"Premium","G","SI2",59.8,60,3.181,6.36,6.34,3.8
1.04,"Ideal","I","VS1",62.9,43,4.997,6.45,6.41,4.04
0.94,"Ideal","F","I1",61.5,55,2.594,6.37,6.34,3.91
1,"Premium","D","SI1",62.3,60,4.469,6.23,6.19,3.87
0.9,"Very Good","D","SI1",62.8,59,4.466,6.12,6.18,3.86
1.01,"Premium","G","SI1",62.6,60,4.338,6.39,6.35,3.99
0.91,"Good","H","VS2",59.9,61,4.309,6.18,6.24,3.72
0.72,"Ideal","F","SI2",61.9,57,2.058,5.74,5.79,3.57
1,"Premium","D","SI1",61.3,61,5.88,6.52,6.39,3.96
1.04,"Premium","E","SI1",62.2,56,5.612,6.56,6.49,4.06
1.51,"Good","F","SI2",62.9,55,7.875,7.22,7.28,4.56
1,"Premium","E","SI1",60.7,59,5.445,6.38,6.41,3.88
0.72,"Ideal","G","SI2",62.3,54,2.295,5.76,5.79,3.6
1.4,"Very Good","I","SI1",61.3,59,7.644,7.19,7.23,4.42
1.01,"Good","G","SI2",63.7,59,4.135,6.38,6.31,4.04
0.71,"Ideal","I","VVS2",61.6,56,2.145,5.72,5.8,3.56
1.29,"Fair","G","I1",66,58,4.277,6.82,6.75,4.48
0.92,"Premium","I","SI1",62.9,60,3.19,6.18,6.13,3.87
1.01,"Very Good","H","VS2",63.5,61,5.05,6.32,6.24,3.99
0.63,"Ideal","D","SI1",62.8,57,2.041,5.49,5.46,3.44
1.32,"Very Good","H","SI1",62.4,58,7.119,7.02,7.09,4.4
0.58,"Premium","E","VS1",61.8,55,2.192,5.39,5.35,3.32
0.83,"Premium","E","SI2",62,61,2.544,6.05,5.98,3.73
1.05,"Premium","F","SI1",61.8,56,5.557,6.55,6.45,4.02
0.82,"Very Good","F","SI1",63.9,56.9,3.048,5.85,5.92,3.76
0.89,"Premium","G","SI1",61.1,58,3.19,6.24,6.17,3.79
1.19,"Ideal","D","SI2",60.4,55,5.406,6.89,6.91,4.17
0.76,"Ideal","J","VS1",61.9,54,2.307,5.88,5.84,3.63
0.9,"Ideal","I","SI1",60.8,57,3.251,6.25,6.22,3.79
1.01,"Ideal","G","SI1",62.9,57,4.004,6.37,6.3,3.98
0.7,"Ideal","G","SI1",61.1,57,2.312,5.72,5.77,3.51
0.72,"Ideal","D","VS1",62.5,55,3.629,5.71,5.74,3.58
1.05,"Premium","H","VS1",60.1,57,5.886,6.62,6.59,3.97
1.31,"Premium","J","SI1",60.7,58,4.475,7.11,7.06,4.3
0.73,"Good","H","SI2",60.9,65,2.085,5.86,5.69,3.51
1.03,"Ideal","J","SI2",62.1,54,4.008,6.47,6.51,4.03
1.18,"Premium","I","SI2",61.7,58,4.639,6.79,6.75,4.18
1.25,"Ideal","E","SI2",62.3,58,7.289,6.86,6.89,4.28
0.91,"Fair","E","VS1",64.5,58,4.77,6.14,6.1,3.95
0.76,"Ideal","H","SI1",61.2,57,2.765,5.88,5.91,3.61
0.71,"Very Good","G","VVS2",62.8,58,3.281,5.69,5.75,3.59
1.04,"Ideal","I","SI1",61.4,55,4.423,6.5,6.59,4.02
0.72,"Very Good","F","VS1",63.4,57,3.264,5.68,5.7,3.61
0.9,"Good","F","SI1",63.1,58,3.95,6.12,6.18,3.88
1,"Good","I","SI1",63.7,64,3.92,6.33,6.27,4.01
0.71,"Very Good","H","VVS1",62.9,57,2.867,5.67,5.69,3.57
1.06,"Ideal","F","VS1",61.9,57,7.479,6.55,6.53,4.05
0.57,"Ideal","F","VS1",61.4,55,2.065,5.38,5.39,3.3
1.01,"Very Good","G","SI1",59.6,61,4.588,6.47,6.52,3.87
0.7,"Premium","F","SI1",62.5,59,2.354,5.67,5.65,3.54
1.02,"Fair","I","SI2",65.5,57,3.802,6.19,6.24,4.07
1,"Ideal","F","SI2",62.7,57,4.721,6.37,6.42,4.01
0.9,"Premium","H","SI1",62.6,58,3.387,6.12,6.08,3.82
0.72,"Ideal","D","SI1",60.8,57,2.757,5.75,5.76,3.5
1.34,"Premium","H","SI2",61.6,60,4.502,7.05,6.97,4.32
0.7,"Very Good","E","SI2",62.8,59,2.453,5.64,5.69,3.56
0.72,"Ideal","E","SI1",60.8,55,2.869,5.77,5.84,3.53
1.07,"Ideal","G","VS2",62.3,57,6.558,6.58,6.54,4.09
1.01,"Very Good","E","SI2",61.5,56,4.666,6.45,6.47,3.97
1,"Premium","E","SI2",61,62,4.2,6.41,6.34,3.89
1,"Ideal","G","VS2",60.5,56,6.328,6.54,6.49,3.94
1.5,"Very Good","I","SI1",60.2,63,7.14,7.38,7.33,4.43
0.71,"Premium","H","VS2",62.2,59,2.352,5.68,5.64,3.52
0.71,"Very Good","E","VS2",63.3,59,2.922,5.62,5.66,3.57
0.9,"Very Good","D","SI1",59.5,57,4.419,6.19,6.34,3.73
1.13,"Premium","G","VS2",61.9,58,7.151,6.7,6.67,4.14
0.71,"Good","I","VS1",63.8,53,2.104,5.7,5.64,3.62
0.55,"Ideal","G","IF",61.1,57,2.383,5.26,5.31,3.23
0.73,"Ideal","I","VS1",61.1,56,2.596,5.79,5.83,3.55
1.01,"Ideal","G","VS1",62.9,57,6.176,6.43,6.39,4.03
1.02,"Ideal","H","I1",62.1,56,3.987,6.45,6.4,3.99
1.19,"Good","J","SI1",59.8,64,4.498,6.94,6.9,4.14
1,"Premium","D","SI2",59.9,59,4.928,6.48,6.44,3.87
1.28,"Ideal","G","SI2",61.8,56,6.833,6.95,6.99,4.31
1.02,"Ideal","F","SI2",62.1,56,4.238,6.44,6.41,3.99
1.09,"Premium","H","VS2",59.7,58,5.677,6.73,6.66,4
1.15,"Premium","I","SI1",62.2,59,4.83,6.75,6.68,4.18
1.01,"Very Good","E","VS1",60.9,55,7.094,6.48,6.58,3.98
0.74,"Premium","H","SI1",60.9,60,2.201,5.81,5.75,3.52
1.04,"Ideal","H","VS1",62.7,57,5.577,6.42,6.46,4.04
1.07,"Premium","G","VS2",62.9,59,6.644,6.52,6.49,4.09
1.52,"Ideal","J","SI1",61.9,57,7.356,7.33,7.37,4.55
0.7,"Good","H","VS2",64.2,58,2.33,5.58,5.61,3.59
0.96,"Good","J","VS2",63.9,58,3.312,6.27,6.21,3.99
0.71,"Very Good","H","VVS2",63,58,2.709,5.64,5.72,3.58
0.73,"Premium","G","VS1",61.4,58,2.841,5.82,5.77,3.56
1.01,"Very Good","E","SI1",60.8,59,6.268,6.43,6.5,3.93
0.55,"Ideal","E","VS1",61.1,55,2.079,5.33,5.3,3.25
0.68,"Good","F","VS1",60,60.8,2.516,5.67,5.71,3.41
0.81,"Ideal","I","SI1",61.3,56,3.097,6.23,6.27,3.83
0.78,"Ideal","E","SI2",61.2,54,2.596,5.96,6,3.66
1,"Fair","D","SI1",66.3,58,4.704,6.15,6.04,4.04
0.9,"Very Good","G","SI2",59.8,61,3.842,6.32,6.28,3.77
0.71,"Ideal","F","VVS1",61.1,54,4.937,5.78,5.84,3.55
0.74,"Very Good","D","SI1",61.5,59,3.138,5.76,5.82,3.56
1,"Good","G","SI2",57.8,64,3.651,6.55,6.5,3.77
0.81,"Ideal","E","VS2",62,57,4.314,5.96,5.98,3.7
1.05,"Premium","H","VS2",59,59,5.468,6.71,6.68,3.95
0.5,"Ideal","G","VVS1",62.7,57,2.07,5.1,5.07,3.19
0.7,"Good","H","SI1",63.8,58,2.176,5.66,5.59,3.59
0.94,"Premium","H","VS2",62.5,58,4.264,6.26,6.18,3.89
1.07,"Premium","F","SI2",61.8,59,4.56,6.53,6.57,4.05
1.01,"Very Good","H","SI2",63.5,58,4.475,6.29,6.37,4.02
1.14,"Good","G","VS1",63.4,58,7.042,6.61,6.67,4.21
0.71,"Very Good","D","VVS2",61.7,58,4.014,5.71,5.74,3.53
1,"Premium","H","SI2",60,62,3.584,6.53,6.51,3.91
1.01,"Very Good","H","SI1",61.9,57,4.432,6.36,6.41,3.95
0.77,"Very Good","G","VS2",62.8,59,3.124,5.81,5.84,3.66
0.71,"Ideal","H","VS1",61.7,55,3.229,5.73,5.75,3.54
0.52,"Ideal","I","IF",60.9,57,2.111,5.17,5.21,3.16
0.76,"Very Good","F","SI2",62.7,55,2.469,5.74,5.83,3.63
1.02,"Good","H","SI1",63.4,57,4.796,6.36,6.42,4.05
1.04,"Very Good","D","SI1",61.5,58,5.605,6.48,6.53,4
0.7,"Ideal","E","VS2",62.2,55,2.616,5.72,5.69,3.55
0.7,"Ideal","F","VS1",61,55,2.874,5.77,5.73,3.51
1.12,"Ideal","H","SI2",62.4,54,5.178,6.65,6.68,4.16
0.93,"Very Good","F","SI1",59.8,58,4.256,6.32,6.39,3.8
1.06,"Ideal","I","VS2",61,57,5.362,6.55,6.59,4.01
1,"Good","G","VS2",63.4,57,5.702,6.27,6.31,3.99
0.81,"Ideal","E","SI2",63,56,2.901,5.95,5.9,3.73
1.01,"Good","I","SI1",63.6,55,3.959,6.39,6.31,4.04
1.01,"Ideal","G","VVS2",62.5,56,7.941,6.38,6.41,4
1,"Very Good","G","VVS2",63,56,7.177,6.37,6.4,4.02
1.01,"Very Good","G","SI2",62.7,58,3.796,6.32,6.43,4
2.14,"Fair","J","I1",69.4,57,5.405,7.74,7.7,5.36
1.39,"Premium","E","SI2",62.7,58,7.445,7.11,6.99,4.42
0.71,"Ideal","I","VS1",62.1,56,2.306,5.68,5.72,3.54
0.54,"Good","F","VS1",63.7,55,2.09,5.16,5.11,3.27
1.02,"Ideal","G","SI1",59.2,57,4.633,6.52,6.56,3.87
1.01,"Fair","E","SI1",65.1,61,4.48,6.27,6.24,4.07
1.27,"Premium","E","SI1",60.9,59,7.98,7.03,6.97,4.26
1.01,"Premium","F","VS2",60.7,60,6.159,6.51,6.58,3.97
0.78,"Very Good","E","VS1",61,55,3.564,5.94,5.96,3.63
1.12,"Very Good","I","SI1",60.6,60,4.312,6.73,6.77,4.09
1.06,"Very Good","H","SI1",59.1,58,5.048,6.66,6.71,3.95
0.8,"Premium","G","SI2",59.7,62,2.484,6.02,5.98,3.58
0.52,"Ideal","G","VVS2",61.8,57,2.012,5.19,5.14,3.19
0.9,"Good","I","VS2",62.4,65,3.107,6.12,6.09,3.81
0.71,"Premium","F","SI1",60.9,59,2.198,5.74,5.69,3.48
1.36,"Good","E","SI2",58,64,6.397,7.26,7.19,4.19
0.71,"Very Good","G","SI1",62.8,55,2.604,5.68,5.73,3.58
1.13,"Ideal","E","SI1",62.2,55,6.682,6.69,6.66,4.15
1.05,"Premium","I","SI2",58.3,57,2.911,6.72,6.67,3.9
0.71,"Premium","E","SI1",61.4,58,2.817,5.77,5.73,3.53
0.72,"Ideal","I","VS2",60.3,57,3.391,5.82,5.86,3.52
1.37,"Premium","J","VS1",60,62,5.37,7.24,7.21,4.33
1.33,"Premium","H","SI1",61.9,58,7.302,7.04,6.98,4.34
0.51,"Very Good","E","VVS2",61.3,55,2.32,5.14,5.16,3.16
1.2,"Premium","G","VS2",62.4,59,7.405,6.74,6.68,4.19
0.74,"Very Good","G","SI2",63,56,2.277,5.75,5.77,3.63
0.9,"Very Good","F","VS1",62.4,59,4.961,6.1,6.15,3.82
0.52,"Ideal","F","VVS2",60.6,56,2.137,5.22,5.24,3.17
0.72,"Ideal","G","VS1",61.7,56,3.478,5.75,5.78,3.56
0.7,"Good","G","VS2",62.1,61,2.367,5.68,5.69,3.53
0.82,"Ideal","G","SI2",61,55,2.165,6.04,5.99,3.67
0.7,"Very Good","F","VVS1",59.3,62,3.27,5.74,5.77,3.41
1.19,"Premium","H","SI1",60.8,59,5.698,6.87,6.84,4.17
0.9,"Good","G","SI2",63.8,56,3.303,6.13,6.16,3.92
1.06,"Ideal","E","SI1",61.6,56,5.798,6.55,6.59,4.05
0.73,"Very Good","G","VS1",61,60,2.708,5.76,5.84,3.54
1.01,"Good","F","VS2",62.1,58,6.288,6.28,6.35,3.92
0.9,"Good","H","VS1",64.1,57,4.234,6.07,6.04,3.88
0.9,"Good","F","VS2",62.8,58,4.778,6.04,6.09,3.81
1.01,"Ideal","H","VS2",60.6,57,5.317,6.54,6.49,3.95
1.5,"Very Good","H","SI2",62.3,60,7.775,7.28,7.22,4.52
1.23,"Ideal","J","VS2",61.2,57,6.015,6.93,6.88,4.23
